,questionFrontendId,title,difficulty,likes,dislikes,similarQuestions
22,23,Merge k Sorted Lists,Hard,8465,382,"[{""title"": ""Merge Two Sorted Lists"", ""titleSlug"": ""merge-two-sorted-lists"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Ugly Number II"", ""titleSlug"": ""ugly-number-ii"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
205,206,Reverse Linked List,Easy,8273,150,"[{""title"": ""Reverse Linked List II"", ""titleSlug"": ""reverse-linked-list-ii"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Binary Tree Upside Down"", ""titleSlug"": ""binary-tree-upside-down"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Palindrome Linked List"", ""titleSlug"": ""palindrome-linked-list"", ""difficulty"": ""Easy"", ""translatedTitle"": null}]"
321,322,Coin Change,Medium,8211,223,"[{""title"": ""Minimum Cost For Tickets"", ""titleSlug"": ""minimum-cost-for-tickets"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
197,198,House Robber,Medium,8185,206,"[{""title"": ""Maximum Product Subarray"", ""titleSlug"": ""maximum-product-subarray"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""House Robber II"", ""titleSlug"": ""house-robber-ii"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Paint House"", ""titleSlug"": ""paint-house"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Paint Fence"", ""titleSlug"": ""paint-fence"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""House Robber III"", ""titleSlug"": ""house-robber-iii"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Non-negative Integers without Consecutive Ones"", ""titleSlug"": ""non-negative-integers-without-consecutive-ones"", ""difficulty"": ""Hard"", ""translatedTitle"": null}, {""title"": ""Coin Path"", ""titleSlug"": ""coin-path"", ""difficulty"": ""Hard"", ""translatedTitle"": null}, {""title"": ""Delete and Earn"", ""titleSlug"": ""delete-and-earn"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
20,21,Merge Two Sorted Lists,Easy,8175,855,"[{""title"": ""Merge k Sorted Lists"", ""titleSlug"": ""merge-k-sorted-lists"", ""difficulty"": ""Hard"", ""translatedTitle"": null}, {""title"": ""Merge Sorted Array"", ""titleSlug"": ""merge-sorted-array"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Sort List"", ""titleSlug"": ""sort-list"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Shortest Word Distance II"", ""titleSlug"": ""shortest-word-distance-ii"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Add Two Polynomials Represented as Linked Lists"", ""titleSlug"": ""add-two-polynomials-represented-as-linked-lists"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Longest Common Subsequence Between Sorted Arrays"", ""titleSlug"": ""longest-common-subsequence-between-sorted-arrays"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
151,152,Maximum Product Subarray,Medium,8064,251,"[{""title"": ""Maximum Subarray"", ""titleSlug"": ""maximum-subarray"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""House Robber"", ""titleSlug"": ""house-robber"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Product of Array Except Self"", ""titleSlug"": ""product-of-array-except-self"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Maximum Product of Three Numbers"", ""titleSlug"": ""maximum-product-of-three-numbers"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Subarray Product Less Than K"", ""titleSlug"": ""subarray-product-less-than-k"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
75,76,Minimum Window Substring,Hard,7931,488,"[{""title"": ""Substring with Concatenation of All Words"", ""titleSlug"": ""substring-with-concatenation-of-all-words"", ""difficulty"": ""Hard"", ""translatedTitle"": null}, {""title"": ""Minimum Size Subarray Sum"", ""titleSlug"": ""minimum-size-subarray-sum"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Sliding Window Maximum"", ""titleSlug"": ""sliding-window-maximum"", ""difficulty"": ""Hard"", ""translatedTitle"": null}, {""title"": ""Permutation in String"", ""titleSlug"": ""permutation-in-string"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Smallest Range Covering Elements from K Lists"", ""titleSlug"": ""smallest-range-covering-elements-from-k-lists"", ""difficulty"": ""Hard"", ""translatedTitle"": null}, {""title"": ""Minimum Window Subsequence"", ""titleSlug"": ""minimum-window-subsequence"", ""difficulty"": ""Hard"", ""translatedTitle"": null}]"
69,70,Climbing Stairs,Easy,7915,235,"[{""title"": ""Min Cost Climbing Stairs"", ""titleSlug"": ""min-cost-climbing-stairs"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Fibonacci Number"", ""titleSlug"": ""fibonacci-number"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""N-th Tribonacci Number"", ""titleSlug"": ""n-th-tribonacci-number"", ""difficulty"": ""Easy"", ""translatedTitle"": null}]"
138,139,Word Break,Medium,7845,365,"[{""title"": ""Word Break II"", ""titleSlug"": ""word-break-ii"", ""difficulty"": ""Hard"", ""translatedTitle"": null}]"
54,55,Jump Game,Medium,7603,467,"[{""title"": ""Jump Game II"", ""titleSlug"": ""jump-game-ii"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Jump Game III"", ""titleSlug"": ""jump-game-iii"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Jump Game VII"", ""titleSlug"": ""jump-game-vii"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
45,46,Permutations,Medium,7345,143,"[{""title"": ""Next Permutation"", ""titleSlug"": ""next-permutation"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Permutations II"", ""titleSlug"": ""permutations-ii"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Permutation Sequence"", ""titleSlug"": ""permutation-sequence"", ""difficulty"": ""Hard"", ""translatedTitle"": null}, {""title"": ""Combinations"", ""titleSlug"": ""combinations"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
38,39,Combination Sum,Medium,7254,172,"[{""title"": ""Letter Combinations of a Phone Number"", ""titleSlug"": ""letter-combinations-of-a-phone-number"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Combination Sum II"", ""titleSlug"": ""combination-sum-ii"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Combinations"", ""titleSlug"": ""combinations"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Combination Sum III"", ""titleSlug"": ""combination-sum-iii"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Factor Combinations"", ""titleSlug"": ""factor-combinations"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Combination Sum IV"", ""titleSlug"": ""combination-sum-iv"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
16,17,Letter Combinations of a Phone Number,Medium,7248,568,"[{""title"": ""Generate Parentheses"", ""titleSlug"": ""generate-parentheses"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Combination Sum"", ""titleSlug"": ""combination-sum"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Binary Watch"", ""titleSlug"": ""binary-watch"", ""difficulty"": ""Easy"", ""translatedTitle"": null}]"
97,98,Validate Binary Search Tree,Medium,7202,752,"[{""title"": ""Binary Tree Inorder Traversal"", ""titleSlug"": ""binary-tree-inorder-traversal"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Find Mode in Binary Search Tree"", ""titleSlug"": ""find-mode-in-binary-search-tree"", ""difficulty"": ""Easy"", ""translatedTitle"": null}]"
100,101,Symmetric Tree,Easy,7183,184,[]
